,screen_name,tweet_url,timestamp,text
54,DiggKickers,https://twitter.com/DiggKickers/status/393701389873844224,25/10/2013 11:31,INSTAGRAM IS THE NEW SILK ROAD  
55,KongKon91424055,https://twitter.com/KongKon91424055/status/391443004256292865,19/10/2013 5:57,我在痞客邦 PIXNET 新增了篇文章：‘Maritime silk road’ faces a rocky birth  …
56,Le_Seidaku,https://twitter.com/Le_Seidaku/status/391253508303126529,18/10/2013 17:24,"New: Le concurrent de Silk Road annonce sa fermeture, puis se ravise  "
57,Navbahor,https://twitter.com/Navbahor/status/390274545073942529,16/10/2013 0:34,"Ipak yo'li strategiyasi desangiz, ekspertlarning ensasi qotadi - #NewSilkRoad talk in Washington  …"
58,ChinaToursBlog,https://twitter.com/ChinaToursBlog/status/390144788881604608,15/10/2013 15:59,Für die Teilnehmer der #NewSilkRoad #Rallye geht es entlang des Himmelsgebirge nach #Hami Mehr dazu:   #Seidenstraße
59,Guitariosott,https://twitter.com/Guitariosott/status/364407943736725505,5/8/2013 15:29,"Ouch, ça c'est de la mise en scène du @nytimes : ""Riding the New Silk Road""   via @JoanRoels"
60,024t910_fav,https://twitter.com/024t910_fav/status/363115886049513472,2/8/2013 1:55,あんまりスクロール連動ものは好きじゃないんだけど、この曲線連動は好き。 >> Riding the New Silk Road - Interactive Feature -    
61,SKoziej,https://twitter.com/SKoziej/status/362915719127633921,1/8/2013 12:40,Czy chińskie zainteresowanie Afganistanem jest szansą dla tego kraju @defenseone: China is Building a 'New Silk Road'  
62,Pristinaorg,https://twitter.com/Pristinaorg/status/361579428926586881,28/7/2013 20:10,Riding the New Silk Road - da China ao Kazaquistão de Trem    
63,hoverstates,https://twitter.com/hoverstates/status/360703070876860416,26/7/2013 10:08, New York Times: Silk Road …  
64,eduardoe,https://twitter.com/eduardoe/status/360641285431902208,26/7/2013 6:02,Riding the New Silk Road  … | Genial la presentación interactiva :D
65,thibnton,https://twitter.com/thibnton/status/360307450550829056,25/7/2013 7:56,"« Riding the New Silk Road », ou l'importation via terre (et train) d'ordinateurs Hewlett-Packard de…  "
66,Briskens,https://twitter.com/Briskens/status/359767240809259009,23/7/2013 20:09,Izcils The New York Times raksts par Ķīnas-Eiropas jauno Zīda ceļu | Hauling New Treasure Along the Silk Road -  
67,SofiaNieminen,https://twitter.com/SofiaNieminen/status/359722740460158977,23/7/2013 17:12,Mitä tarinankerrontaa! Tällaista lisää! Riding The New Silk Road:  …
68,visionscarto,https://twitter.com/visionscarto/status/359388390443073536,22/7/2013 19:04,"« Riding the New Silk Road », ou l'importation via terre (et train) d'ordinateurs Hewlett-Packard de…  "
69,alaingresh,https://twitter.com/alaingresh/status/359336017213403137,22/7/2013 15:35,"« Riding the New Silk Road », ou l'importation via terre (et train) d'ordinateurs Hewlett-Packard de…  "
70,gpbasello,https://twitter.com/gpbasello/status/359330200053493761,22/7/2013 15:12,Riding the New Silk Road:  … Viene voglia di vedere il resto del percorso..
71,recifs,https://twitter.com/recifs/status/359322539656347651,22/7/2013 14:42,"« Riding the New Silk Road », ou l'importation via terre (et train) d'ordinateurs Hewlett-Packard de…  "
72,Koztj,https://twitter.com/Koztj/status/359304816222150656,22/7/2013 13:31,#webdocumentaire RIDING THE NEW SILK ROAD nouvelle route de la soie : les transports Chine Europe   #webdoc #interactif
73,Rue89_Chinatown,https://twitter.com/Rue89_Chinatown/status/359288569078099968,22/7/2013 12:27,"+1 RT @florianmascaro ""Riding the New Silk Road"" encore une magnifique réalisation du NYTimes #nouveauxmedias  … …"
74,florianmascaro,https://twitter.com/florianmascaro/status/359287454873821184,22/7/2013 12:22,"""Riding the New Silk Road"" encore une magnifique réalisation du NYTimes #nouveauxmedias  …"
75,ju_sagi,https://twitter.com/ju_sagi/status/359285029370740736,22/7/2013 12:13,NICE! Riding the New Silk Road   (via @DMehradF ) #infografía
76,sjoholm,https://twitter.com/sjoholm/status/359279259904258049,22/7/2013 11:50,Strålande interaktivt bildberättande av @nytgraphics Riding the New Silk Road  …
77,lbroekman,https://twitter.com/lbroekman/status/359276585074950144,22/7/2013 11:39,Fraaie weergave. 'Riding The New Silk Road'  
78,fabienpaillot,https://twitter.com/fabienpaillot/status/359270178904743937,22/7/2013 11:14,"""Riding the New Silk Road"" Simple et superbe idée!  … Merci la vigie de @Rue89 !"
79,EmmaPatry,https://twitter.com/EmmaPatry/status/359246085476188162,22/7/2013 9:38,Riding the New Silk Road : superbe contenu interactif du NYT >  …
80,HENKELHIEDL,https://twitter.com/HENKELHIEDL/status/359235905048940544,22/7/2013 8:58,Die @nytimes mal wieder: Das Multimedia-Feature »Riding the New Silk Road« ( …) zum Artikel ( …).
81,radimbancovski,https://twitter.com/radimbancovski/status/359211671346094080,22/7/2013 7:21,Tyhle prezentace NYT jsou prostě úžasné: Riding the New Silk Road - Interactive  …
82,just4v2ex,https://twitter.com/just4v2ex/status/359120283438821376,22/7/2013 1:18,[分享发现] Riding the New Silk Road:  NYT这种数码杂志从设计到排版，到字体，到美学，到精美的cinemagraph，把其他媒介爆出翔了有木有！  
83,hildekas,https://twitter.com/hildekas/status/359066809565069312,21/7/2013 21:46,"""@maartenzam: Heel mooi, zo zou ik graag meer reportages zien: Riding the New Silk Road  …"""
84,maartenzam,https://twitter.com/maartenzam/status/359062838687838208,21/7/2013 21:30,"Heel mooi, zo zou ik graag meer reportages zien: Riding the New Silk Road  …"
85,XplaneSp,https://twitter.com/XplaneSp/status/359050639294214144,21/7/2013 20:41,El New York Times haciendo una de las suyas ... New Silk Road @nytimes  
86,dclauzel,https://twitter.com/dclauzel/status/359011037678272512,21/7/2013 18:04,« Riding the New Silk Road »   Jolie infographie
87,rojastorrijos,https://twitter.com/rojastorrijos/status/358962404610150400,21/7/2013 14:51,"Nuevo ejemplo de cómo aprovechar gráficos y multimedia para contar historias: Riding the New Silk Road, @nytgraphics  …"
88,JoaoPedroL,https://twitter.com/JoaoPedroL/status/358945156759687168,21/7/2013 13:42,artigo para lá de maravilhoso no ny times .Hauling New Treasure Along the Silk Road  
89,jvillasanad,https://twitter.com/jvillasanad/status/358934346998099969,21/7/2013 12:59,Expertos en logística y embarques deben leer este artículo -- NYTimes: Hauling New Treasure Along the Silk Road 
90,ljubljanna,https://twitter.com/ljubljanna/status/400653182009085952,13/11/2013 15:55,"Silk Road initiative, Great Middle East project. Следующий этап the Earth или New Galaxy? :)"
91,SimoneChun,https://twitter.com/SimoneChun/status/400620716120231938,13/11/2013 13:46,Putin in Seoul pushes new ‘Silk Road’ via North Korea |  … via @capitalfm_kenya 푸턴 한국방문. 러시아 6자회담 개시 지지 표명한다는 기사.
92,osmetoz,https://twitter.com/osmetoz/status/400496924010098689,13/11/2013 5:34,"Putin in South Korea to push new ""Silk Road"" via North Korea - Channel NewsAsia  bölge barışına ciddi katkısı olur."
93,osmetoz,https://twitter.com/osmetoz/status/400496737476825088,13/11/2013 5:33,"Putin in South Korea to push new ""Silk Road"" via North Korea - Channel NewsAsia  Çok önemli bir gelişme."
94,itsHypeGalore,https://twitter.com/itsHypeGalore/status/398574957828923392,7/11/2013 22:17,"Notirama: Arafat, Maduro, New York, Silk Road. Todos vuelven  … #HG"
95,FakinoTur,https://twitter.com/FakinoTur/status/395974892086390784,31/10/2013 18:05,Patrimonio cultural subacuático: The Maritime Silk Road Guangdong Museum (China) -  
96,_Niivs,https://twitter.com/_Niivs/status/395029064450576384,29/10/2013 3:27,"Adicionei como favorito um vídeo @YouTube   Kitaro (喜多郎) - Silk Road, Beautiful New Age Relaxing Music"
97,Trrguni,https://twitter.com/Trrguni/status/388435022853574657,10/10/2013 22:45,"Eurasia: the New Silk Road""Yeni İpek Yolu"". Yeni Dünyayı Düzenleyenler bu konuya çok önem veriyor."
98,NLingelicht,https://twitter.com/NLingelicht/status/388199772336582656,10/10/2013 7:10,Vermeende eigenaar Silk Road in New York berecht  #internet
99,Q8Y3GOB,https://twitter.com/Q8Y3GOB/status/388039858192916480,9/10/2013 20:34,Vermeende eigenaar Silk Road in New York berecht   #Q8Y3GOB #tech
100,NLingelicht,https://twitter.com/NLingelicht/status/388028977849176064,9/10/2013 19:51,Vermeende eigenaar Silk Road in New York berecht  #internet
101,MediaMere,https://twitter.com/MediaMere/status/388026001177198593,9/10/2013 19:39,NU.nl: Vermeende eigenaar Silk Road in New York berecht   …
102,OnlinePearl,https://twitter.com/OnlinePearl/status/388016025947865088,9/10/2013 19:00,Vermeende eigenaar Silk Road in New York berecht  …
103,SocialGatto,https://twitter.com/SocialGatto/status/388014447811641344,9/10/2013 18:53,Vermeende eigenaar Silk Road in New York berecht  
104,Marskap_ICT,https://twitter.com/Marskap_ICT/status/388012574002130944,9/10/2013 18:46,Vermeende eigenaar Silk Road in New York berecht  
